label,mean_intensity_nucleoplasm,area_nucleoplasm,mean_intensity_membrane,area_membrane,ratio,filename,localization
5,183.0467971776425,28912.0,136.4876160990712,6460.0,1.3411238499819336,47549_736_E7_1.tif,membrane
6,99.87387491079855,43441.0,55.27522373421601,8157.0,1.8068470494308546,47549_736_E7_1.tif,membrane
7,78.6828930374545,42585.0,57.40552699228792,7780.0,1.3706501300480192,47549_736_E7_1.tif,membrane
8,126.89093576228977,29313.0,75.38250982594049,7124.0,1.6832941229375769,47549_736_E7_1.tif,membrane
9,178.3238397679536,39992.0,133.81465230687408,7521.0,1.3326181901142455,47549_736_E7_1.tif,membrane
10,193.7228639424193,34456.0,157.22671603531757,7022.0,1.232124341380403,47549_736_E7_1.tif,membrane
11,78.49891067538127,2754.0,52.9825918762089,1551.0,1.4815981607466455,47549_736_E7_1.tif,membrane
12,162.84550431142438,27949.0,116.28489186245527,6427.0,1.4004012189652477,47549_736_E7_1.tif,membrane
13,136.04968581687612,22280.0,100.87671939477303,5816.0,1.3486727823141875,47549_736_E7_1.tif,membrane
14,185.61255387931035,18560.0,143.87666297117516,3608.0,1.2900810322275595,47549_736_E7_1.tif,membrane
15,180.07391125154555,29116.0,138.93336081341027,7278.0,1.2961171470787904,47549_736_E7_1.tif,membrane
16,142.39368724550445,39539.0,107.622555410691,7670.0,1.3230840570745206,47549_736_E7_1.tif,membrane
17,47.73655433656148,55966.0,44.6331599617875,9421.0,1.0695311373299794,47549_736_E7_1.tif,membrane
18,147.86074738252097,36581.0,132.19458467186783,4358.0,1.1185083545558205,47549_736_E7_1.tif,membrane
19,40.63709677419355,124.0,32.509838998211094,559.0,1.2499937873094258,47549_736_E7_1.tif,membrane
1,70.02833001988071,2012.0,96.98539325842697,890.0,0.7220502765120872,50546_727_A8_2.tif,nucleoplasm
2,72.056450944647,48272.0,108.3713167587477,8688.0,0.6649033443513145,50546_727_A8_2.tif,nucleoplasm
3,90.55310632082872,36973.0,87.85719339622642,8480.0,1.0306851701083146,50546_727_A8_2.tif,membrane
5,118.05498281786942,291.0,109.54551971326165,1395.0,1.0776796999720437,50546_727_A8_2.tif,membrane
8,52.78556169753562,45407.0,79.40185414091471,8090.0,0.6647900388302889,50546_727_A8_2.tif,nucleoplasm
11,114.3385308633145,27962.0,111.26808510638298,21385.0,1.027595026498352,50546_727_A8_2.tif,membrane
24,44.21884327882236,39197.0,59.62496686986483,7546.0,0.7416162322627821,50546_727_A8_2.tif,nucleoplasm
26,39.17346682726087,39852.0,47.097328244274806,7860.0,0.8317556066892782,50546_727_A8_2.tif,nucleoplasm
27,48.09652231982329,38934.0,69.76383763837639,7317.0,0.6894191023311177,50546_727_A8_2.tif,nucleoplasm
28,59.38276415310566,8726.0,61.24463044851548,6332.0,0.9695995178389561,50546_727_A8_2.tif,nucleoplasm
33,63.67406305257256,46374.0,76.62431056427663,9428.0,0.8309903551975102,50546_727_A8_2.tif,nucleoplasm
34,47.639859198276525,51988.0,63.282552364500106,9262.0,0.7528119113128766,50546_727_A8_2.tif,nucleoplasm
35,57.090868989854435,36272.0,88.29478156951268,7531.0,0.6465939206713814,50546_727_A8_2.tif,nucleoplasm
